id,title,category,subcategory,problem_text,solution_text,source,created_at,hint_text
1,Will the sheep survive with 100 tigers on the island?,brain_teasers,,"A magical island contains 100 tigers and 1 sheep, along with abundant grass. Tigers can consume grass but prefer to eat sheep. The island operates under two rules: (A) Only one tiger can eat one sheep at a time, and after eating, that tiger transforms into a sheep. (B) All tigers are perfectly intelligent, rational, and prioritize their own survival. Under these conditions, will the sheep be eaten?","To analyze this, let's examine smaller cases first. If there is only 1 tiger (n = 1), it will eat the sheep since there is no risk of being eaten afterward. With 2 tigers (n = 2), each tiger realizes that eating the sheep would turn it into a sheep, leaving the other tiger to eat it. Thus, neither tiger will eat the sheep to ensure survival. For 3 tigers (n = 3), one tiger will eat the sheep because it knows that after transforming, there will be 2 tigers left, and it won't be eaten. This logic continues: if the number of tigers is even, the sheep will not be eaten, as any tiger eating it would become vulnerable to the remaining odd number of tigers. Conversely, if the number is odd, the sheep will be eaten, as the first tiger can safely eat it without immediate retaliation. Since 100 is an even number, the sheep will not be eaten.

Valid Answers: No",green_book,2026-05-03 19:56:08.862229+00,Consider smaller cases first to identify a pattern. What happens when there is only 1 tiger? How does the outcome change with 2 tigers? Focus on the parity (odd/even) of the number of tigers and how it affects their decisions.
2,Optimal River Crossing Strategy,brain_teasers,Logic Reasoning,"Four individuals—A, B, C, and D—must cross a river using a narrow bridge that can only support two people at once. They possess a single torch, which is required for any crossing. The group moves at the pace of the slower person in each pair. Crossing times are as follows: A takes 10 minutes, B takes 5 minutes, C takes 2 minutes, and D takes 1 minute. What is the shortest possible total time required for all four to reach the opposite bank?","The optimal strategy involves minimizing the time spent by the slowest individuals (A and B) on the bridge. First, the two fastest individuals (C and D) cross together, taking 2 minutes. Next, the fastest (D) returns with the torch, adding 1 minute. Then, the two slowest (A and B) cross together, taking 10 minutes. After this, the second-fastest (C) returns with the torch, adding 2 minutes. Finally, C and D cross again, taking another 2 minutes. The total time sums to 2 + 1 + 10 + 2 + 2 = 17 minutes.

Alternatively, after the initial crossing by C and D, D could return instead of C. The sequence would then be: C and D cross (2 min), D returns (1 min), A and B cross (10 min), D returns (1 min), and C and D cross again (2 min), also totaling 17 minutes.

Valid Answers: 17",green_book,2026-05-03 19:56:08.862229+00,"Focus on minimizing the time spent by the slowest individuals on the bridge. Consider how the fastest individuals can be used to shuttle the torch back efficiently, reducing the total crossing time."
3,Deduction Puzzle: Determining the Boss's Birthday,brain_teasers,Logic Reasoning,"Your boss A’s birthday is one of these 10 possible dates:
Mar 4, Mar 5, Mar 8
Jun 4, Jun 7
Sep 1, Sep 5
Dec 1, Dec 2, Dec 8

A tells you only the month of their birthday, while informing colleague Conly only the day. Afterward, you state: ""I don’t know A’s birthday; Conly doesn’t know it either."" Upon hearing this, Conly replies: ""I didn’t know A’s birthday initially, but now I do."" You then say: ""Now I know it too."" Based on these exchanges and the list of dates, what did the administrative assistant record as A’s birthday?","The key is to analyze the logical implications of each statement made in sequence.

Let D represent the day of A’s birthday, where D ∈ {1, 2, 4, 5, 7, 8}. If the birthday were on a unique day (e.g., 2 or 7), Conly would have known the exact date immediately upon hearing the day. However, since you are certain that Conly does not know the birthday, the day cannot be 2 or 7. This eliminates June and December as possible months, because if the month were June, the day could have been 2, and if it were December, the day could have been 7.

Now, Conly knows the month must be either March or September. Since Conly can now deduce the birthday, the day must be unique within these two months. This rules out Mar 5 and Sep 5, leaving only Mar 4, Mar 8, and Sep 1 as possibilities.

Among these, Mar 4 and Mar 8 share the same month. If the month were March, you would still be unable to determine the exact date. Since you are now able to deduce the birthday, the month must be September, leaving Sep 1 as the only remaining option. Thus, the administrative assistant recorded Sep 1 as A’s birthday.

Valid Answers: Sep 1",green_book,2026-05-03 19:56:08.862229+00,"Focus on the days that are unique across all dates. If Conly had been told one of those days, they would have known the birthday immediately. Use this to eliminate months where such a day exists, narrowing down the possibilities."
4,Optimal Bidding Strategy for Casino Card Game,brain_teasers,Logic Reasoning,"A casino runs a card game with a standard 52-card deck. In each round, two cards are revealed. If both are black, they go to the dealer’s pile; if both are red, they go to your pile; if one is black and one is red, the pair is discarded. This continues until all cards are processed. You win $100 if your pile has more cards than the dealer’s at the end; otherwise (including ties), you get nothing. The casino lets you set the price to play. What is the maximum amount you should be willing to pay to participate in this game?","This game is designed to be unwinnable. Regardless of how the cards are arranged, the number of cards in your pile will always equal the number in the dealer’s pile. Here’s why: every discarded pair consists of one black and one red card, so the remaining cards must preserve the original balance of 26 red and 26 black cards. Since your pile only gains red cards and the dealer’s pile only gains black cards, the counts in both piles will always match. Therefore, you can never have more cards than the dealer, making the game a guaranteed loss. As a result, the rational decision is to pay nothing to play.

Valid Answers: 0",green_book,2026-05-03 19:56:08.862229+00,Consider the total number of red and black cards in the deck and how the discarding rules affect the remaining cards. Think about whether the piles can ever be unequal in size after all pairs are processed.
5,Measuring 45 Minutes with Two Uneven Ropes,brain_teasers,Logic Reasoning,"You are given two ropes, each of which takes exactly one hour to burn completely. However, the ropes are non-uniform, meaning different sections may burn at different rates. How can you measure exactly 45 minutes using only these two ropes and a way to light them?","This is a classic logic puzzle. For any rope that burns in x minutes, lighting both ends simultaneously will cause it to burn out in x/2 minutes. Here’s the step-by-step approach:

1. Light both ends of the first rope and one end of the second rope at the same time.
2. After 30 minutes, the first rope will have completely burned out (since it was lit at both ends). At this point, the second rope has been burning for 30 minutes from one end, so it has 30 minutes of burn time remaining.
3. Immediately light the other end of the second rope. Now, it will burn out in half of the remaining 30 minutes, which is 15 minutes.
4. The total time elapsed when the second rope burns out is 30 + 15 = 45 minutes.

Valid Answers: 45 minutes

Defective ball
You have 12 identical balls. One of the balls is either heavier or lighter than the rest (you don’t know which). Using only a balance scale that can indicate which side is heavier, how can you identify the defective ball in just three weighings?",green_book,2026-05-03 19:56:08.862229+00,"Focus on dividing the balls into groups and using the balance scale to narrow down possibilities. Remember, each weighing can give you three outcomes: left heavier, right heavier, or balanced, which can help you systematically eliminate groups of balls."
6,Locating the Odd Ball Among Twelve with a Balance Scale,brain_teasers,Logic Reasoning,"You have 12 identical-looking balls, one of which is either heavier or lighter than the others (you don’t know which). Using only a balance scale that can indicate which side is heavier, how can you identify the defective ball in exactly three weighings?","This problem is a classic logic puzzle often used in interviews. The approach relies on dividing the balls into three groups at each step rather than two, since comparing two groups inherently provides information about the third. Below is a step-by-step method to isolate the defective ball in three weighings.

Label the balls from 1 to 12. For the first weighing, compare balls 1, 2, 3, 4 against balls 5, 6, 7, 8. There are two possible outcomes:

1. **The two groups balance (1,2,3,4 = 5,6,7,8):**
   - The defective ball must be among 9, 10, 11, or 12, and its weight difference (heavier or lighter) is unknown.
   - For the second weighing, compare balls 9, 10, 11 against balls 1, 2, 3 (known normal balls).
     - If 9,10,11 = 1,2,3, then ball 12 is defective. The third weighing (comparing 12 to any normal ball) will reveal whether it is heavier or lighter.
     - If 9,10,11 ≠ 1,2,3, the direction of imbalance indicates whether the defective ball among 9,10,11 is heavier or lighter. For the third weighing, compare 9 against 10:
       - If 9 = 10, then 11 is defective, and its weight difference is determined by the second weighing.
       - If 9 ≠ 10, the heavier or lighter ball is identified based on the second weighing’s imbalance direction.

2. **The two groups do not balance (e.g., 1,2,3,4 < 5,6,7,8):**
   - The defective ball is either among 1,2,3,4 (lighter) or among 5,6,7,8 (heavier). Balls 9,10,11,12 are normal.
   - For the second weighing, compare balls 1,2,5 against balls 3,6,9 (where 9 is known normal).
     - If 1,2,5 = 3,6,9, then the defective ball is among 4 (lighter) or 7,8 (heavier). For the third weighing, compare 7 against 8:
       - If 7 = 8, then 4 is defective and lighter.
       - If 7 ≠ 8, the heavier one is defective.
     - If 1,2,5 < 3,6,9, then either 1 or 2 is lighter, or 6 is heavier. For the third weighing, compare 1 against 2:
       - If 1 = 2, then 6 is defective and heavier.
       - If 1 ≠ 2, the lighter one is defective.
     - If 1,2,5 > 3,6,9, then either 3 is lighter or 5 is heavier. For the third weighing, compare 3 against a normal ball:
       - If 3 is lighter, it is defective.
       - If 3 balances, then 5 is defective and heavier.

By systematically narrowing down the possibilities at each step, the defective ball can be identified in exactly three weighings. The symmetry of the problem ensures that all cases are covered without ambiguity.

Valid Answers: The defective ball is identified in three weighings as described above.",green_book,2026-05-03 19:56:08.862229+00,"Focus on dividing the balls into three groups for each weighing, as this maximizes the information gained from each comparison. The key is to design the weighings so that each outcome (left heavier, right heavier, or balanced) provides a distinct clue about where the odd ball could be and whether it's heavier or lighter."
7,Counting trailing zeros in 100 factorial,brain_teasers,Logic Reasoning,How many trailing zeros does the number 100! (100 factorial) contain?,"The number of trailing zeros in 100! is determined by the number of times the product can be divided by 10, which requires pairs of factors 2 and 5. Since there are far more factors of 2 than 5 in the prime factorization of 100!, the count of trailing zeros is dictated by the count of 5s.

Within the range from 1 to 100, there are 20 integers divisible by 5 (5, 10, ..., 100). Among these, 4 numbers (25, 50, 75, 100) are divisible by 25 (5²), contributing an additional factor of 5 each. Thus, the total number of 5s in the prime factorization of 100! is 20 + 4 = 24, resulting in 24 trailing zeros.

Valid Answers: 24

Horse race
There are 25 horses, each of which runs at a constant speed that is different from the other horses'. Since the track only has 5 lanes, each race can have at most 5 horses. If you need to find the 3 fastest horses, what is the minimum number of races needed to identify them?",green_book,2026-05-03 19:56:08.862229+00,"Start by racing all 25 horses in groups of 5 to determine their relative rankings within each group. Then, focus on how to efficiently narrow down the candidates for the top 3 positions using the fewest additional races."
8,Determining the Three Fastest Horses with Minimal Races,brain_teasers,Logic Reasoning,"There are 25 horses, each running at a unique constant speed. A track with only 5 lanes allows races of up to 5 horses at a time. What is the smallest number of races required to definitively determine the three fastest horses?","The solution requires a structured elimination process to identify the top three horses with the fewest races. First, divide the 25 horses into 5 groups of 5 (e.g., Group 1: 1-5, Group 2: 6-10, Group 3: 11-15, Group 4: 16-20, Group 5: 21-25). Conduct 5 races, one for each group, to determine the relative speeds within each group. Assume, without loss of generality, that the fastest horse in each group is the one with the lowest number (e.g., horse 1 wins Group 1, horse 6 wins Group 2, etc.).

Next, race the 5 group winners (horses 1, 6, 11, 16, 21) in a 6th race. Assume the result is horse 1 > horse 6 > horse 11 > horse 16 > horse 21. This race reveals that horses 16 and 21 cannot be in the top three overall, as they are slower than at least three other horses. Similarly, all horses slower than the 3rd-place finisher in their original groups (e.g., horses 4-5 in Group 1, 9-10 in Group 2, etc.) are eliminated.

Now, the only candidates for the top three are:
- The top three from the 6th race (horses 1, 6, 11),
- The 2nd and 3rd place horses from the group of the 6th race winner (horses 2, 3 from Group 1),
- The 2nd place horse from the group of the 2nd place finisher in the 6th race (horse 7 from Group 2).

A 7th race among horses 2, 3, 6, 7, and 11 will determine the 2nd and 3rd fastest horses overall. Thus, the minimum number of races required is 7.

Valid Answers: 7",green_book,2026-05-03 19:56:08.862229+00,Start by organizing the horses into groups and racing them to establish relative rankings within each group. Focus on how the winners of these initial races can help you narrow down the candidates for the top three positions efficiently.
9,Solving an Infinite Recursive Equation,brain_teasers,Logic Reasoning,"Given the infinite recursive expression x /\ x /\ x /\ x /\ x · · · = 2, where x /\ y is defined as x^y, determine the value of x.","At first glance, this problem seems complex, but a closer examination reveals a straightforward solution. Starting from the given equation:

$$\lim_{n \to \infty} \underbrace{x /\ x /\ \cdots /\ x}_{n \text{ terms}} = 2,$$

we observe that the limit remains unchanged if we add or remove one term in the infinite sequence. This implies:

$$\lim_{n \to \infty} \underbrace{x /\ x /\ \cdots /\ x}_{n \text{ terms}} = x /\ \left( \lim_{n \to \infty} \underbrace{x /\ x /\ \cdots /\ x}_{n-1 \text{ terms}} \right) = x /\ 2 = 2.$$ 

Since x /\ y = x^y, substituting the known value gives:

$$x^2 = 2.$$ 

Solving for x yields:

$$x = \sqrt{2}.$$ 

Valid Answers: sqrt(2)

2.3 Thinking Out of the Box
Box packing
Can you pack 53 bricks of dimensions 1x1x4 into a 6 x 6 x 6 box?",green_book,2026-05-03 19:56:08.862229+00,Focus on the property of the infinite expression—removing or adding one term shouldn't change its value. How can you use this to relate the entire expression to a simpler equation involving x?
10,Fitting 1x1x4 bricks into a 6x6x6 cube,brain_teasers,Thinking Out of the Box,"Is it possible to fit 53 bricks, each measuring 1 unit by 1 unit by 4 units, inside a 6x6x6 cube?","This problem is a three-dimensional extension of a classic chessboard puzzle. In the original version, an 8x8 chessboard has two opposite corner squares removed, and the question asks whether 31 dominoes (each covering 1x2 squares) can tile the remaining 62 squares. The key insight is that the removed squares share the same color, leaving an imbalance between black and white squares. Since each domino must cover one black and one white square, the imbalance makes it impossible to tile the board completely.

To adapt this to our problem, consider the 6x6x6 cube divided into 27 smaller 2x2x2 sub-cubes. Each 2x2x2 sub-cube alternates between black and white in a three-dimensional checkerboard pattern, resulting in either 14 black and 13 white sub-cubes or vice versa. Now, observe that any 1x1x4 brick placed in the cube must span exactly two adjacent 2x2x2 sub-cubes of opposite colors. Specifically, half of the brick (1x1x2) lies in a black sub-cube, and the other half lies in a white sub-cube.

Since each 2x2x2 sub-cube can accommodate at most 4 bricks (each contributing 1x1x2 to the sub-cube), the limiting factor is the color with fewer sub-cubes. If there are 13 sub-cubes of one color, they can support at most 13 * 4 = 52 bricks. The 53rd brick cannot be placed without violating this constraint, as it would require an additional sub-cube of the minority color. Therefore, it is impossible to pack 53 bricks of dimensions 1x1x4 into a 6x6x6 cube.

Valid Answers: No",green_book,2026-05-03 19:56:08.862229+00,"Think about dividing the cube into smaller, manageable sections and consider how the bricks interact with these sections. Pay attention to the colors or labels of these sections—could an imbalance in their counts prevent the bricks from fitting?"
